conv_id,query_id,query_text,retriever,generation_backend,summary
c1,0,What is the main topic of discussion?,tfidf,extractive_fallback,"For the question 'What is the main topic of discussion?', the retrieved evidence suggests: Speaker G said: If we keep the stack simple, we can focus on the analysis. Speaker C said: Let’s make the pipeline reproducible with fixed seeds and configs. It might feel like extra work now, but it saves time during analysis. Speaker B said: I'm not sure but, i agree. We should build a baseline before adding any improvements. Speaker G said: If we keep the stack simple, we can focus on the analysis. Speaker C said: I'm not fully convinced yet. If we keep it simple, we can run more experiments and comparisons. We can validate it quickly with a small pilot before we scale it up."
c1,1,What are the key points being discussed?,tfidf,extractive_fallback,"For the question 'What are the key points being discussed?', the retrieved evidence suggests: Speaker G said: If we keep the stack simple, we can focus on the analysis. Speaker C said: Let’s make the pipeline reproducible with fixed seeds and configs. It might feel like extra work now, but it saves time during analysis. Speaker B said: I'm not sure but, i agree. We should build a baseline before adding any improvements. Speaker G said: If we keep the stack simple, we can focus on the analysis. Speaker C said: I'm not fully convinced yet. If we keep it simple, we can run more experiments and comparisons. We can validate it quickly with a small pilot before we scale it up."
c1,2,What decisions were made?,tfidf,extractive_fallback,"For the question 'What decisions were made?', the retrieved evidence suggests: Speaker G said: If we keep the stack simple, we can focus on the analysis. Speaker C said: Let’s make the pipeline reproducible with fixed seeds and configs. It might feel like extra work now, but it saves time during analysis. Speaker B said: I'm not sure but, i agree. We should build a baseline before adding any improvements. Speaker G said: If we keep the stack simple, we can focus on the analysis. Speaker C said: I'm not fully convinced yet. If we keep it simple, we can run more experiments and comparisons. We can validate it quickly with a small pilot before we scale it up."
c1,3,What concerns were raised?,tfidf,extractive_fallback,"For the question 'What concerns were raised?', the retrieved evidence suggests: Speaker G said: If we keep the stack simple, we can focus on the analysis. Speaker C said: Let’s make the pipeline reproducible with fixed seeds and configs. It might feel like extra work now, but it saves time during analysis. Speaker B said: I'm not sure but, i agree. We should build a baseline before adding any improvements. Speaker G said: If we keep the stack simple, we can focus on the analysis. Speaker C said: I'm not fully convinced yet. If we keep it simple, we can run more experiments and comparisons. We can validate it quickly with a small pilot before we scale it up."
c1,4,What is the recommended approach?,tfidf,extractive_fallback,"For the question 'What is the recommended approach?', the retrieved evidence suggests: Speaker G said: If we keep the stack simple, we can focus on the analysis. Speaker C said: Let’s make the pipeline reproducible with fixed seeds and configs. It might feel like extra work now, but it saves time during analysis. Speaker B said: I'm not sure but, i agree. We should build a baseline before adding any improvements. Speaker G said: If we keep the stack simple, we can focus on the analysis. Speaker C said: I'm not fully convinced yet. If we keep it simple, we can run more experiments and comparisons. We can validate it quickly with a small pilot before we scale it up."
c10,0,What is the main topic of discussion?,tfidf,extractive_fallback,"For the question 'What is the main topic of discussion?', the retrieved evidence suggests: Speaker B said: Maybe, let’s pick one main question and avoid building extra features. Speaker E said: Just to check: Let’s pick one main question and avoid building extra features? Speaker F said: Let’s pick one main question and avoid building extra features. if you don't mind. Speaker G said: If we overbuild, we’ll have less time for evaluation and writing. Speaker D said: I'm not fully convinced yet."
c10,1,What are the key points being discussed?,tfidf,extractive_fallback,"For the question 'What are the key points being discussed?', the retrieved evidence suggests: Speaker B said: I'm not sure but, if we finish the prototype early, we’ll have time to run the user study. Speaker G said: If we overbuild, we’ll have less time for evaluation and writing. Speaker D said: I'm not fully convinced yet. Speaker D said: Let’s define a small set of standard questions to ask the system. Speaker D said: We should include robustness checks by changing retrieval settings."
c10,2,What decisions were made?,tfidf,extractive_fallback,"For the question 'What decisions were made?', the retrieved evidence suggests: Speaker B said: I'm not sure but, if we finish the prototype early, we’ll have time to run the user study. Speaker G said: If we overbuild, we’ll have less time for evaluation and writing. Speaker D said: I'm not fully convinced yet. Speaker D said: Let’s define a small set of standard questions to ask the system. Speaker D said: We should include robustness checks by changing retrieval settings."
c10,3,What concerns were raised?,tfidf,extractive_fallback,"For the question 'What concerns were raised?', the retrieved evidence suggests: Speaker B said: I'm not sure but, if we finish the prototype early, we’ll have time to run the user study. Speaker G said: If we overbuild, we’ll have less time for evaluation and writing. Speaker D said: I'm not fully convinced yet. Speaker D said: Let’s define a small set of standard questions to ask the system. Speaker D said: We should include robustness checks by changing retrieval settings."
c10,4,What is the recommended approach?,tfidf,extractive_fallback,"For the question 'What is the recommended approach?', the retrieved evidence suggests: Speaker B said: I'm not sure but, if we finish the prototype early, we’ll have time to run the user study. Speaker G said: If we overbuild, we’ll have less time for evaluation and writing. Speaker D said: I'm not fully convinced yet. Speaker D said: Let’s define a small set of standard questions to ask the system. Speaker D said: We should include robustness checks by changing retrieval settings."
