conv_id,query_id,query_text,retrieved_message_uid,rank,score,retriever
c1,0,What is the main topic of discussion?,c1_60,1,0.0,tfidf
c1,0,What is the main topic of discussion?,c1_59,2,0.0,tfidf
c1,0,What is the main topic of discussion?,c1_28,3,0.0,tfidf
c1,0,What is the main topic of discussion?,c1_27,4,0.0,tfidf
c1,0,What is the main topic of discussion?,c1_26,5,0.0,tfidf
c1,1,What are the key points being discussed?,c1_60,1,0.0,tfidf
c1,1,What are the key points being discussed?,c1_59,2,0.0,tfidf
c1,1,What are the key points being discussed?,c1_28,3,0.0,tfidf
c1,1,What are the key points being discussed?,c1_27,4,0.0,tfidf
c1,1,What are the key points being discussed?,c1_26,5,0.0,tfidf
c1,2,What decisions were made?,c1_60,1,0.0,tfidf
c1,2,What decisions were made?,c1_59,2,0.0,tfidf
c1,2,What decisions were made?,c1_28,3,0.0,tfidf
c1,2,What decisions were made?,c1_27,4,0.0,tfidf
c1,2,What decisions were made?,c1_26,5,0.0,tfidf
c1,3,What concerns were raised?,c1_60,1,0.0,tfidf
c1,3,What concerns were raised?,c1_59,2,0.0,tfidf
c1,3,What concerns were raised?,c1_28,3,0.0,tfidf
c1,3,What concerns were raised?,c1_27,4,0.0,tfidf
c1,3,What concerns were raised?,c1_26,5,0.0,tfidf
c1,4,What is the recommended approach?,c1_60,1,0.0,tfidf
c1,4,What is the recommended approach?,c1_59,2,0.0,tfidf
c1,4,What is the recommended approach?,c1_28,3,0.0,tfidf
c1,4,What is the recommended approach?,c1_27,4,0.0,tfidf
c1,4,What is the recommended approach?,c1_26,5,0.0,tfidf
c10,0,What is the main topic of discussion?,c10_37,1,0.3541506419329061,tfidf
c10,0,What is the main topic of discussion?,c10_23,2,0.34108697209135674,tfidf
c10,0,What is the main topic of discussion?,c10_33,3,0.32277713990543,tfidf
c10,0,What is the main topic of discussion?,c10_26,4,0.0,tfidf
c10,0,What is the main topic of discussion?,c10_20,5,0.0,tfidf
c10,1,What are the key points being discussed?,c10_70,1,0.0,tfidf
c10,1,What are the key points being discussed?,c10_26,2,0.0,tfidf
c10,1,What are the key points being discussed?,c10_20,3,0.0,tfidf
c10,1,What are the key points being discussed?,c10_21,4,0.0,tfidf
c10,1,What are the key points being discussed?,c10_22,5,0.0,tfidf
c10,2,What decisions were made?,c10_70,1,0.0,tfidf
c10,2,What decisions were made?,c10_26,2,0.0,tfidf
c10,2,What decisions were made?,c10_20,3,0.0,tfidf
c10,2,What decisions were made?,c10_21,4,0.0,tfidf
c10,2,What decisions were made?,c10_22,5,0.0,tfidf
c10,3,What concerns were raised?,c10_70,1,0.0,tfidf
c10,3,What concerns were raised?,c10_26,2,0.0,tfidf
c10,3,What concerns were raised?,c10_20,3,0.0,tfidf
c10,3,What concerns were raised?,c10_21,4,0.0,tfidf
c10,3,What concerns were raised?,c10_22,5,0.0,tfidf
c10,4,What is the recommended approach?,c10_70,1,0.0,tfidf
c10,4,What is the recommended approach?,c10_26,2,0.0,tfidf
c10,4,What is the recommended approach?,c10_20,3,0.0,tfidf
c10,4,What is the recommended approach?,c10_21,4,0.0,tfidf
c10,4,What is the recommended approach?,c10_22,5,0.0,tfidf
c11,0,What is the main topic of discussion?,c11_33,1,0.3542458893432093,tfidf
c11,0,What is the main topic of discussion?,c11_14,2,0.34269652809562934,tfidf
c11,0,What is the main topic of discussion?,c11_15,3,0.33554278185256575,tfidf
c11,0,What is the main topic of discussion?,c11_24,4,0.33554278185256575,tfidf
c11,0,What is the main topic of discussion?,c11_6,5,0.2860942357239941,tfidf
c11,1,What are the key points being discussed?,c11_62,1,0.0,tfidf
c11,1,What are the key points being discussed?,c11_16,2,0.0,tfidf
c11,1,What are the key points being discussed?,c11_29,3,0.0,tfidf
c11,1,What are the key points being discussed?,c11_28,4,0.0,tfidf
c11,1,What are the key points being discussed?,c11_27,5,0.0,tfidf
c11,2,What decisions were made?,c11_62,1,0.0,tfidf
c11,2,What decisions were made?,c11_16,2,0.0,tfidf
c11,2,What decisions were made?,c11_29,3,0.0,tfidf
c11,2,What decisions were made?,c11_28,4,0.0,tfidf
c11,2,What decisions were made?,c11_27,5,0.0,tfidf
c11,3,What concerns were raised?,c11_62,1,0.0,tfidf
c11,3,What concerns were raised?,c11_16,2,0.0,tfidf
c11,3,What concerns were raised?,c11_29,3,0.0,tfidf
c11,3,What concerns were raised?,c11_28,4,0.0,tfidf
c11,3,What concerns were raised?,c11_27,5,0.0,tfidf
c11,4,What is the recommended approach?,c11_62,1,0.0,tfidf
c11,4,What is the recommended approach?,c11_16,2,0.0,tfidf
c11,4,What is the recommended approach?,c11_29,3,0.0,tfidf
c11,4,What is the recommended approach?,c11_28,4,0.0,tfidf
c11,4,What is the recommended approach?,c11_27,5,0.0,tfidf
c12,0,What is the main topic of discussion?,c12_1,1,0.35046877763286427,tfidf
c12,0,What is the main topic of discussion?,c12_26,2,0.0,tfidf
c12,0,What is the main topic of discussion?,c12_20,3,0.0,tfidf
c12,0,What is the main topic of discussion?,c12_21,4,0.0,tfidf
c12,0,What is the main topic of discussion?,c12_22,5,0.0,tfidf
c12,1,What are the key points being discussed?,c12_71,1,0.0,tfidf
c12,1,What are the key points being discussed?,c12_26,2,0.0,tfidf
c12,1,What are the key points being discussed?,c12_20,3,0.0,tfidf
c12,1,What are the key points being discussed?,c12_21,4,0.0,tfidf
c12,1,What are the key points being discussed?,c12_22,5,0.0,tfidf
c12,2,What decisions were made?,c12_71,1,0.0,tfidf
c12,2,What decisions were made?,c12_26,2,0.0,tfidf
c12,2,What decisions were made?,c12_20,3,0.0,tfidf
c12,2,What decisions were made?,c12_21,4,0.0,tfidf
c12,2,What decisions were made?,c12_22,5,0.0,tfidf
c12,3,What concerns were raised?,c12_71,1,0.0,tfidf
c12,3,What concerns were raised?,c12_26,2,0.0,tfidf
c12,3,What concerns were raised?,c12_20,3,0.0,tfidf
c12,3,What concerns were raised?,c12_21,4,0.0,tfidf
