conv_id,query_id,query_text,retrieved_msg_id,rank,score,retriever
c1,0,What is the main topic of discussion?,60,1,0.0,tfidf
c1,0,What is the main topic of discussion?,59,2,0.0,tfidf
c1,0,What is the main topic of discussion?,28,3,0.0,tfidf
c1,0,What is the main topic of discussion?,27,4,0.0,tfidf
c1,0,What is the main topic of discussion?,26,5,0.0,tfidf
c1,1,What are the key points being discussed?,60,1,0.0,tfidf
c1,1,What are the key points being discussed?,59,2,0.0,tfidf
c1,1,What are the key points being discussed?,28,3,0.0,tfidf
c1,1,What are the key points being discussed?,27,4,0.0,tfidf
c1,1,What are the key points being discussed?,26,5,0.0,tfidf
c1,2,What decisions were made?,60,1,0.0,tfidf
c1,2,What decisions were made?,59,2,0.0,tfidf
c1,2,What decisions were made?,28,3,0.0,tfidf
c1,2,What decisions were made?,27,4,0.0,tfidf
c1,2,What decisions were made?,26,5,0.0,tfidf
c1,3,What concerns were raised?,60,1,0.0,tfidf
c1,3,What concerns were raised?,59,2,0.0,tfidf
c1,3,What concerns were raised?,28,3,0.0,tfidf
c1,3,What concerns were raised?,27,4,0.0,tfidf
c1,3,What concerns were raised?,26,5,0.0,tfidf
c1,4,What is the recommended approach?,60,1,0.0,tfidf
c1,4,What is the recommended approach?,59,2,0.0,tfidf
c1,4,What is the recommended approach?,28,3,0.0,tfidf
c1,4,What is the recommended approach?,27,4,0.0,tfidf
c1,4,What is the recommended approach?,26,5,0.0,tfidf
c10,0,What is the main topic of discussion?,37,1,0.3541506419329061,tfidf
c10,0,What is the main topic of discussion?,23,2,0.34108697209135674,tfidf
c10,0,What is the main topic of discussion?,33,3,0.32277713990543,tfidf
c10,0,What is the main topic of discussion?,26,4,0.0,tfidf
c10,0,What is the main topic of discussion?,20,5,0.0,tfidf
c10,1,What are the key points being discussed?,70,1,0.0,tfidf
c10,1,What are the key points being discussed?,26,2,0.0,tfidf
c10,1,What are the key points being discussed?,20,3,0.0,tfidf
c10,1,What are the key points being discussed?,21,4,0.0,tfidf
c10,1,What are the key points being discussed?,22,5,0.0,tfidf
c10,2,What decisions were made?,70,1,0.0,tfidf
c10,2,What decisions were made?,26,2,0.0,tfidf
c10,2,What decisions were made?,20,3,0.0,tfidf
c10,2,What decisions were made?,21,4,0.0,tfidf
c10,2,What decisions were made?,22,5,0.0,tfidf
c10,3,What concerns were raised?,70,1,0.0,tfidf
c10,3,What concerns were raised?,26,2,0.0,tfidf
c10,3,What concerns were raised?,20,3,0.0,tfidf
c10,3,What concerns were raised?,21,4,0.0,tfidf
c10,3,What concerns were raised?,22,5,0.0,tfidf
c10,4,What is the recommended approach?,70,1,0.0,tfidf
c10,4,What is the recommended approach?,26,2,0.0,tfidf
c10,4,What is the recommended approach?,20,3,0.0,tfidf
c10,4,What is the recommended approach?,21,4,0.0,tfidf
c10,4,What is the recommended approach?,22,5,0.0,tfidf
c11,0,What is the main topic of discussion?,33,1,0.3542458893432093,tfidf
c11,0,What is the main topic of discussion?,14,2,0.34269652809562934,tfidf
c11,0,What is the main topic of discussion?,15,3,0.33554278185256575,tfidf
c11,0,What is the main topic of discussion?,24,4,0.33554278185256575,tfidf
c11,0,What is the main topic of discussion?,6,5,0.2860942357239941,tfidf
c11,1,What are the key points being discussed?,62,1,0.0,tfidf
c11,1,What are the key points being discussed?,16,2,0.0,tfidf
c11,1,What are the key points being discussed?,29,3,0.0,tfidf
c11,1,What are the key points being discussed?,28,4,0.0,tfidf
c11,1,What are the key points being discussed?,27,5,0.0,tfidf
c11,2,What decisions were made?,62,1,0.0,tfidf
c11,2,What decisions were made?,16,2,0.0,tfidf
c11,2,What decisions were made?,29,3,0.0,tfidf
c11,2,What decisions were made?,28,4,0.0,tfidf
c11,2,What decisions were made?,27,5,0.0,tfidf
c11,3,What concerns were raised?,62,1,0.0,tfidf
c11,3,What concerns were raised?,16,2,0.0,tfidf
c11,3,What concerns were raised?,29,3,0.0,tfidf
c11,3,What concerns were raised?,28,4,0.0,tfidf
c11,3,What concerns were raised?,27,5,0.0,tfidf
c11,4,What is the recommended approach?,62,1,0.0,tfidf
c11,4,What is the recommended approach?,16,2,0.0,tfidf
c11,4,What is the recommended approach?,29,3,0.0,tfidf
c11,4,What is the recommended approach?,28,4,0.0,tfidf
c11,4,What is the recommended approach?,27,5,0.0,tfidf
c12,0,What is the main topic of discussion?,1,1,0.35046877763286427,tfidf
c12,0,What is the main topic of discussion?,26,2,0.0,tfidf
c12,0,What is the main topic of discussion?,20,3,0.0,tfidf
c12,0,What is the main topic of discussion?,21,4,0.0,tfidf
c12,0,What is the main topic of discussion?,22,5,0.0,tfidf
c12,1,What are the key points being discussed?,71,1,0.0,tfidf
c12,1,What are the key points being discussed?,26,2,0.0,tfidf
c12,1,What are the key points being discussed?,20,3,0.0,tfidf
c12,1,What are the key points being discussed?,21,4,0.0,tfidf
c12,1,What are the key points being discussed?,22,5,0.0,tfidf
c12,2,What decisions were made?,71,1,0.0,tfidf
c12,2,What decisions were made?,26,2,0.0,tfidf
c12,2,What decisions were made?,20,3,0.0,tfidf
c12,2,What decisions were made?,21,4,0.0,tfidf
